offset,text
1,"103' - Robben handles in midfield. Right at the end of the first half. Torres turns well to cross headed away by Lahm."
3,"105' - HT in ET now. Breath. Drink. Breath."
2,"106' - And we are all ready to go in the second half."
2,"108' - Cahill and Luiz injured, lacking match practice and playing off pure desire and adrenalin for the shirt."
2,"110' - Drogba downs Olic, gets in behind & shoots across goal, goes wide. Olic suggests it was a cross. #Chelsea escape."
2,"112' - Olic launches into Cahill but no foul given. Another Bayern attack begins."
2,"113' - Lahm in behind finds a cross Cahill throws his body on the line to block and then Luiz clears."
0,"113' - Cahill has cramp in his right leg and has to go off for a brief moment."
1,"114' - #Chelsea are running on empty now. Mata is struggling. Drogba is stretching."
3,"115' - 5 minutes to go."
2,"117' - Robben free-kick floated into Cech. Very poor."
2,"118' - Luiz punts one out of play at the halfway line. All 22 players know it is penalties. Everyone shattered and empty. They've given everything."
1,"119' - Torres booked for dissent after a rare break forward. And time is up."
4,"120' - FT in ET - Bayern 1 #Chelsea 1. The 10th final to be settled by penalties."
1,"FT/ET - Blue flags flying high in the Chelsea end. Decisions being made who and when by Di Matteo for the pens."
1,"FT/ET - Almost time and the Keepers shake hands, big chance to be a hero for them."
1,"FT/ET - Lampard indicates to the team it is at the Bayern end."
1,"PEN - Lahm first up. Scores. Cech goes close but can't keep it out. 1-0."
1,"PEN - Mata next. 1st for Chelsea. Too central and it's saved. Neuer looks huge and saves well. 1-0."
1,"PEN - Gomez bottom corner. Cech goes the right way again. Unstoppable.  2-0."
1,"PEN - Luiz, the curly haired wizard, long run up. Blasts it home.  2-1."
1,"PEN - Neuer next. The goalkeeper. Beats Cech to his bottom right side - squeezed in as Cech goes the right way again. 3-1. Task looks massive."
1,"PEN - Step forward Frank Lampard super captain goal. Blasts to the roof of the net.  3-2."
1,"PEN - Olic with his last kick for Bayern. Too straight. Cech again the right way and claws it away.  3-2."
1,"PEN - Ashley Cole. Scored in Moscow a great game side netting right in the corner what a penalty. 3-3. Sudden death already."
1,"PEN - Bastian. Stood Cech goes the right way gets a touch. Post out. Saved. 3-3. To win it...."
1,"PEN - This is it! Drogba his last kick of a ball for #Chelsea! The hero, the legend; one kick sends Neuer to the goal. 3-4."
